"id","pokemon_ability_id","effect","language","short_effect"
3,1,"Attacken die Schaden verursachen haben mit jedem Treffer eine 10% Chance das Ziel zurückschrecken zu lassen, wenn die Attacke dies nicht bereits als Nebeneffekt hat.

Der Effekt stapelt nicht mit dem von getragenen Items.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf.",de,Mit jedem Treffer besteht eine 10% Chance das Ziel zurückschrecken zu lassen.
13,1,"This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.",en,Has a 10% chance of making target Pokémon flinch with each hit.
5,2,"Das weather ändert sich zu rain wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, drought, sand stream oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room.",de,Ändert beim Betreten des Kampfes das weather in rain.
16,2,"The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",en,Summons rain that lasts indefinitely upon entering battle.
4,3,Die speed des Pokémon erhöht sich jede Runde um 1 Stufe.,de,Steigert die speed um 1 Stufe nach jeder Runde.
22,3,This Pokémon's Speed rises one stage after each turn.,en,Raises Speed one stage after each turn.
6,4,"Attacken können keinen kritischen Treffer landen.

Diese Fähigkeit ist identisch mit shell armor.",de,Schützt vor kritischen Treffern.
19,4,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor.",en,Protects against critical hits.
7,5,"Wenn das Pokémon volle hp hat, lässt jeder Treffer der das Pokémon besiegt hätte ein hp übrig. Das Pokémon ist immun gegen die K.O.-Attacken fissure, guillotine, horn drill und sheer cold.

Hält das Pokémon ein focus sash, hat die Fähigkeit Vorrang und das Item wird nicht verbraucht.",de,"Verhindert K.O.-Treffer bei vollen hp, das Pokémon behält 1 hp. Schützt gegen K.O.-Attacken."
21,5,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.",en,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
8,6,"Wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, schlagen die Attacken self destruct und explosion fehl und aftermath hat keinen Effekt.",de,"Verhindert self destruct, explosion und aftermath."
20,6,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.",en,"Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle."
11,7,"Ein Pokémon mit dieser Fähigkeit kann nicht paralysiert werden.

Wenn ein paralysiertes Pokémon diese Fähigkeit erhält, wird es von der paralysis geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.",de,Verhindert paralysis.
17,7,"This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",en,Prevents paralysis.
9,8,"Während eines Sandsturms hat ein Pokémon mit dieser Fähigkeit einen um 25% erhöhten evasion und es nimmt keinen Schaden durch Sandstürme.

Der Bonus zählt nicht als Statuswerte Änderung.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf.",de,Erhöht den evasion um 25% während eines Sandsturms. Kein Schaden durch Sandstürme.
14,8,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",en,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
10,9,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass der Angreifer paralysiert wird.

Pokémon die immun gegen electric Attacken sind können trotzdem von dieser Fähigkeit paralysiert werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht eine 50% Chance einem electric Pokémon zu begegnen, falls es welche gibt.",de,"30% Chance das angreifende Pokémon bei Kontakt zu paralysieren."
15,9,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",en,Has a 30% chance of paralyzing attacking Pokémon on contact.
12,10,"Wenn ein Pokémon mit dieser Fähigkeit von einer electric Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert.

Die Fähigkeit wirkt nicht, wenn das Pokémon vom Typ ground ist. electric Attacken ignorieren den substitute dieses Pokémons.

Der Effekt gilt auch für Attacken die keinen Schaden verursachen, wie z.B. thunder wave.",de,Absorbiert electric Attacken und heilt 1/4 der max hp.
18,10,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.",en,"Absorbs electric moves, healing for 1/4 max HP."
23,11,"Wenn ein Pokémon mit dieser Fähigkeit von einer water Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert.

water Attacken ignorieren den substitute dieses Pokémons.",de,Absorbiert water Attacken und heilt 1/4 der maximalen hp.
39,11,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute.",en,"Absorbs water moves, healing for 1/4 max HP."
24,12,"Dieses Pokémon kann sich nicht verlieben und ist immun gegen captivate.

Wenn ein Pokémon verliebt ist und diese Fähigkeit erhält, wird es von der infatuation geheilt.",de,Verhindert infatuation und schützt gegen captivate.
33,12,"This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",en,Prevents infatuation and protects against captivate.
28,13,"Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann das weather zwar geändert werden, hat aber keinen Effekt.

Diese Fähigkeit ist identisch mit air lock.",de,Entfernt alle Wettereffekte aber ändert nicht das weather selbst.
36,13,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.",en,"Negates all effects of weather, but does not prevent the weather itself."
